"Source:","D:\STM32DryerPCB\STM32DryerPCB_V2\STM32DryerPCB_V2.kicad_sch"
"Date:","31-07-2023 10.28.39 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","108"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R22","10K","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R23","1k","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R24","4.7K","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R25","1k","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R26","10k","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R27","4.7K","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R28","1k","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R29","1K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","RN1","10K","Device:R_Network04_US","Resistor_THT:R_Array_SIP5","http://www.vishay.com/docs/31509/csc.pdf"
"","","RN2","10K","Device:R_Network04_US","Resistor_THT:R_Array_SIP5","http://www.vishay.com/docs/31509/csc.pdf"
"","","RV1","10D431K","Device:Varistor_US","User_Varistor:RV_Disc_D7mm_W5.7mm_P5mm","~"
"","","RV2","10D431K","Device:Varistor_US","User_Varistor:RV_Disc_D7mm_W5.7mm_P5mm","~"
"","","RV3","10K","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical","~"
"","","RV4","10D431K","Device:Varistor_US","User_Varistor:RV_Disc_D7mm_W5.7mm_P5mm","~"
"","","RV5","10D431K","Device:Varistor_US","User_Varistor:RV_Disc_D7mm_W5.7mm_P5mm","~"
"","","U1","STM32F103C8Tx","MCU_ST_STM32F1:STM32F103C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00161566.pdf"
"","","U2","LM2596S-ADJ","Regulator_Switching:LM2596S-ADJ","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"","","U3","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"","","U4","PC817","Isolator:PC817","Package_DIP:DIP-4_W7.62mm_LongPads","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"","","U5","PC817","Isolator:PC817","Package_DIP:DIP-4_W7.62mm_LongPads","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
